VES  CI 23.0800 P 0.03 U  I  143.30
GRA  CI 23.3800 P 0.26 D  I  143.70
WLDB NN 22.8100 P 0.19 D  I  143.90
HEC  CI 22.5300 P 0.54 U  I  144.20
JNH2 CI 23.0100 P 0.03 D  I  145.90
TUQ  CI 22.6700 P 0.57 U  I  146.00
HDH  CI 23.4000 P 0.09    E  146.30
VCS  CI 23.0300 P 0.19    E  147.10
SGR  SN 23.5600 P 0.12 D  I  147.50
TA2  CI 23.5900 P 0.15 D  I  148.30
LUG  CI 23.7600 P 0.01 D  I  149.80
SHO  CI 18.4200 P 0.08 U  I  112.80
NBS  CI 37.6600 S 0.55    E  134.20
LEC  SN 33.7600 S 0.38    E  119.80
# 2019 07 04 17 09 20.09  35.7077 -117.5013 10.97  2.49  0.13  0.25  0.15  37  98  46  20         8
B921 PB  2.9200 P 0.10 D  I  13.90
B921 PB  5.4000 S 0.30    I  13.90
SRT  CI  8.5400 S 1.05    I  22.50
LRL  CI  5.3000 P 0.14 D  I  30.10
WRV2 CI  8.2600 P 0.05    E  48.40
CLC  CI  3.1400 P 0.01 D  I  14.80
CLC  CI  5.6900 S 0.39    E  14.80
SRT  CI  4.5800 P 0.02 U  I  22.50
CCC  CI  4.8100 P 0.13    E  23.70
CCC  CI  8.5900 S 0.68    E  23.70
B918 PB  8.4900 S 0.21    E  26.90
TOW2 CI  5.1900 P 0.05 U  I  26.20
TOW2 CI  9.5700 S 1.29    E  26.20
B918 PB  4.7700 P 0.12 D  I  26.90
SLA  CI  5.1900 P 0.05 U  I  28.30
SLA  CI  9.2000 S 0.35    E  28.30
WRC2 CI  5.3800 P 0.05 D  I  29.90
WRC2 CI  9.4900 S 0.27    E  29.90
LRL  CI  9.2100 S 0.02    E  30.10
WBM  CI  6.8000 P 0.16 U  I  36.80
WBM  CI 11.9200 S 0.96    I  36.80
MPM  CI  6.7100 P 0.05 D  I  38.90
MPM  CI 11.7500 S 0.30    E  38.90
WVP2 CI  6.8700 P 0.02    E  39.10
WVP2 CI 12.1900 S 0.49    E  39.10
WNM  CI  6.8400 P 0.05    E  39.40
WNM  CI 12.0000 S 0.37    E  39.40
B917 PB  6.8700 P 0.10    E  40.10
B917 PB 11.9300 S 0.11    E  40.10
JRC2 CI  7.2200 P 0.02    E  41.20
JRC2 CI 12.2200 S 0.00    E  41.20
WCS2 CI  7.3000 P 0.10    E  42.50
WCS2 CI 12.7300 S 0.20    E  42.50
WRV2 CI 14.5000 S 0.39    E  48.40
WMF  CI  9.4900 P 0.07 D  I  55.50
WMF  CI 16.5100 S 0.48    E  55.50
B916 PB  9.3400 P 0.06 D  I  55.90
B916 PB 16.5500 S 0.47    E  55.90
